Model,Accuracy,Precision (macro),Recall (macro),F1-Score (macro)
Naive Bayes,0.9792746113989638,0.9850751879699249,0.9774747474747475,0.9794151404151404
CNN,0.9948186528497409,0.9942857142857143,0.9963636363636365,0.9950183150183151
