Model,Accuracy,Precision (macro),Recall (macro),F1-Score (macro)
Logistic Regression,0.9896373056994818,0.9862857142857143,0.9883636363636364,0.987018315018315
LSTM,0.9948186528497409,0.9973333333333333,0.9963636363636365,0.9967159277504105
